0.000000 ; 23021 ; PROC_CREAT ; PROC_CREAT
329.000000 ; 23023 ; PROC_CREAT ; PROC_CREAT
329.000000 ; 23023 ; PROC_EXIT ; PROC_EXIT
330.000000 ; 23024 ; PROC_CREAT ; PROC_CREAT
331.000000 ; 23025 ; PROC_CREAT ; PROC_CREAT
332.000000 ; 23026 ; PROC_CREAT ; PROC_CREAT
332.000000 ; 23026 ; PROC_EXIT ; PROC_EXIT
333.000000 ; 23027 ; PROC_CREAT ; PROC_CREAT
333.000000 ; 23027 ; PROC_EXIT ; PROC_EXIT
335.000000 ; 23028 ; PROC_CREAT ; PROC_CREAT
335.000000 ; 23028 ; PROC_EXIT ; PROC_EXIT
336.000000 ; 23025 ; PROC_EXIT ; PROC_EXIT
337.000000 ; 23029 ; PROC_CREAT ; PROC_CREAT
337.000000 ; 23029 ; PROC_EXIT ; PROC_EXIT
339.000000 ; 23030 ; PROC_CREAT ; PROC_CREAT
339.000000 ; 23030 ; PROC_EXIT ; PROC_EXIT
341.000000 ; 23031 ; PROC_CREAT ; PROC_CREAT
341.000000 ; 23031 ; PROC_EXIT ; PROC_EXIT
341.000000 ; 23024 ; PROC_EXIT ; PROC_EXIT
342.000000 ; 23032 ; PROC_CREAT ; PROC_CREAT
342.000000 ; 23032 ; PROC_EXIT ; PROC_EXIT
343.000000 ; 23033 ; PROC_CREAT ; PROC_CREAT
343.000000 ; 23033 ; PROC_EXIT ; PROC_EXIT
16.000000 ; 23021 ; PROC_EXIT ; PROC_EXIT
